BESTELLIDENT;TARGET_BETRUG;B_EMAIL;B_TELEFON;B_GEBDATUM;FLAG_LRIDENTISCH;FLAG_NEWSLETTER;Z_METHODE;Z_CARD_ART;Z_CARD_VALID;Z_LAST_NAME;WERT_BEST;TAG_BEST;TIME_BEST;ANZ_BEST;ANUMMER_01;ANUMMER_02;ANUMMER_03;ANUMMER_04;ANUMMER_05;ANUMMER_06;ANUMMER_07;ANUMMER_08;ANUMMER_09;ANUMMER_10;CHK_LADR;CHK_RADR;CHK_KTO;CHK_CARD;CHK_COOKIE;CHK_IP;FAIL_LPLZ;FAIL_LORT;FAIL_LPLZORTMATCH;FAIL_RPLZ;FAIL_RORT;FAIL_RPLZORTMATCH;SESSION_TIME;NEUKUNDE;ANZ_BEST_GES;WERT_BEST_GES;DATUM_LBEST;MAHN_AKT;MAHN_HOECHST
39977;nein;ja;nein;1976-02-23 00:00:00.000;ja;nein;Kreditkarte;Amex;03.2007;nein;34,5;Sa;1899-12-30 21:47:00.000;1;108397;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;nein;2;22,44;2003-05-30 00:00:00.000;0;0
39981;nein;ja;nein;1977-09-18 00:00:00.000;ja;nein;Rechnung;;02.2006;;54,5;Do;1899-12-30 16:19:00.000;1;402448;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;104,58;2003-05-20 00:00:00.000;0;0
39983;ja;nein;nein;1972-12-20 00:00:00.000;ja;nein;Rechnung;;04.2006;;6,5;Mi;1899-12-30 04:41:00.000;1;505555;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;2;ja;0;0;1899-12-30 00:00:00.000;0;0
39984;nein;ja;nein;1978-10-07 00:00:00.000;nein;nein;Kreditkarte;Visa;06.2006;ja;16;Do;1899-12-30 08:13:00.000;1;400767;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;73,75;2003-09-05 00:00:00.000;0;0
39988;nein;ja;nein;1968-05-10 00:00:00.000;ja;nein;Kundenkarte;Kundenkarte;06.2005;ja;110,49;Sa;1899-12-30 13:37:00.000;3;204341;303136;607317;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;16;nein;0;0;1899-12-30 00:00:00.000;0;0
39990;ja;nein;nein;1975-12-19 00:00:00.000;ja;nein;Rechnung;;01.2005;;9,99;Do;1899-12-30 19:26:00.000;1;409101;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0
39991;nein;ja;nein;1972-01-18 00:00:00.000;nein;nein;Lastschrift;;12.2007;ja;46,5;Di;1899-12-30 06:29:00.000;1;404944;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;nein;1;57,49;2003-10-06 00:00:00.000;0;0
39992;nein;ja;nein;1985-12-26 00:00:00.000;nein;nein;Kreditkarte;Visa;05.2005;ja;85,8;Mi;1899-12-30 01:56:00.000;3;300925;402993;504258;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;12;nein;1;11,53;2002-04-23 00:00:00.000;0;0
39993;nein;ja;nein;1965-03-18 00:00:00.000;ja;nein;Rechnung;;01.2007;;44;Fr;1899-12-30 16:49:00.000;1;202090;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0
39994;nein;ja;nein;1950-11-23 00:00:00.000;ja;nein;Rechnung;;07.2006;;54,5;Fr;1899-12-30 19:44:00.000;1;502454;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;64,52;2001-06-08 00:00:00.000;0;0
